DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
4S,AADX027,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,7
4S,AADX028,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX029,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,1
4S,AADX030,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX031,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,4
4S,AADX032,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX033,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,1
4S,AADX034,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX035,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,1
4S,AADX036,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
4S,AADX037,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles Drag...,11/23/20,03/21/21,3
4S,AADX038,RC 4S OTP - Newspaper New York Post Dec-20 2 bottles of S...,11/23/20,03/20/21,
WSJ,1823036,RC WSJ Inserts - Newspaper Palm Beach Post Dec-20 2 Sarac...,11/24/20,03/12/21,5
WSJ,1823038,RC WSJ Inserts - Newspaper Sarasota Herald Tribune Dec-20...,11/24/20,03/12/21,10
WSJ,1868023,RC WSJ OTP - Newspaper Unspecified Dec-20 2 btls Inaugura...,11/24/20,03/21/21,76
WSJ,1957001,RC WSJ Inserts - Statements Winery Direct Dec-20 2 bottle...,11/25/20,04/22/21,614
WSJ,1957002,RC WSJ Inserts - Statements Default Dec-20 2 Saracosa Gov...,11/25/20,04/22/21,
WSJ,1957003,RC WSJ Inserts - Statements Hello Fresh PIP Dec-20 2 Sara...,11/25/20,04/22/21,"1,927"
WSJ,1957004,RC WSJ Inserts - Statements Hello Fresh PIP Dec-20 2 Sara...,11/25/20,04/22/21,398
WSJ,1957005,RC WSJ Inserts - Statements Hello Fresh PIP Dec-20 2 Sara...,11/25/20,04/22/21,385
WSJ,1957006,RC WSJ Inserts - Statements Hello Fresh PIP Dec-20 2 Sara...,11/25/20,04/22/21,416
WSJ,AACP006,RC WSJ Inserts - Statements Money Mailer Dec-20 2 Saracos...,11/25/20,04/18/21,41
WSJ,1823028,RC WSJ Inserts - Newspaper Miami Herald Dec-20 2 Saracosa...,11/26/20,03/14/21,12
WSJ,1823042,RC WSJ Inserts - Newspaper Baltimore Sun Dec-20 2 bottles...,11/26/20,03/14/21,12
WSJ,AAER001,RC WSJ Email Winery Direct Dec-20 2 bottles of Shroud Mou...,11/27/20,04/24/21,23
WSJ,AAER002,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,110
WSJ,AAER003,RC WSJ Email Winery Direct Dec-20 2 bottles of Shroud Mou...,11/27/20,04/24/21,
WSJ,AAER004,RC WSJ Email Unspecified Dec-20 2 Saracosa Governo + 2 Gl...,11/27/20,04/24/21,
WSJ,AAER005,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,6
WSJ,AAER006,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,94
WSJ,AAER007,RC WSJ Email Winery Direct Dec-20 2 bottles of Shroud Mou...,11/27/20,04/24/21,17
WSJ,AAER008,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,59
WSJ,AAER009,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,64
WSJ,AAER010,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,
